student_id,gender,age,study_hours,attendance_pct,sleep_hours,final_score,passed
STU0139,Male,16,3.4,74.0,10.0,51.2,0
STU0140,Male,18,4.4,79.6,9.6,91.5,1
STU0141,Female,16,1.2,91.2,7.2,89.1,1
STU0142,Male,16,3.9,67.4,9.1,72.4,1
STU0143,Female,18,2.9,83.9,7.1,82.6,1
STU0144,Female,15,3.9,78.3,7.7,58.9,0
STU0145,Female,18,2.1,63.4,4.5,68.3,1
STU0146,Male,15,9.0,93.9,8.5,89.3,1
STU0147,Male,15,6.3,89.9,4.8,67.6,1
STU0148,Male,15,7.1,82.9,9.0,61.5,1
STU0149,Male,18,8.1,92.5,8.7,69.7,1
STU0150,Female,15,5.5,77.15,8.3,89.7,1
STU0151,Male,17,1.8,85.4,4.2,60.1,1
STU0152,Male,18,5.8,91.9,5.8,50.4,0
STU0153,Male,17,6.3,84.9,5.6,82.7,1
STU0154,Male,15,7.7,84.0,6.2,89.6,1
STU0155,Male,16,4.9,80.9,4.5,46.0,0
STU0156,Female,15,2.1,87.6,9.6,54.4,0
STU0157,Male,17,3.6,57.9,7.3,48.5,0
STU0158,Female,17,4.3,94.0,5.8,60.9,1
STU0159,Male,18,6.8,93.6,6.4,67.0,1
STU0160,Female,16,6.1,51.5,6.7,84.9,1
STU0161,Male,18,4.2,91.3,7.6,79.1,1
STU0162,Male,17,9.9,56.4,7.1,77.3,1
STU0163,Female,15,6.5,66.8,9.5,61.1,1
STU0164,Female,16,3.1,87.2,7.0,90.5,1
STU0165,Female,15,1.9,58.0,10.0,68.3,1
STU0166,Male,15,2.4,90.9,9.1,98.7,1
STU0167,Female,16,3.2,91.6,5.3,78.0,1
STU0168,Male,18,2.4,75.4,9.6,47.6,0
STU0169,Male,15,2.7,50.3,4.7,80.6,1
STU0170,Female,17,3.6,64.4,8.9,59.5,0
STU0171,Female,15,2.6,80.8,6.3,81.2,1
STU0172,Male,16,9.1,77.15,9.3,44.2,0
STU0173,Male,16,1.7,81.6,9.2,50.5,0
STU0174,Female,16,5.7,63.0,8.8,91.3,1
STU0175,Female,18,4.7,81.7,8.7,53.6,0
STU0176,Female,15,9.8,77.15,5.8,90.2,1
STU0177,Male,18,2.0,89.0,4.5,56.8,0
STU0178,Male,18,4.6,55.3,6.4,78.6,1
STU0179,Male,16,9.7,88.1,5.0,81.6,1
STU0180,Male,16,8.8,77.1,8.2,70.8,1
STU0181,Male,18,8.4,98.1,6.1,58.3,0
STU0182,Male,15,3.3,67.1,9.9,52.8,0
STU0183,Female,17,2.5,81.6,7.8,42.0,0
STU0184,Male,18,7.0,96.6,8.9,58.2,0
STU0185,Male,15,9.4,55.1,4.8,79.2,1
STU0186,Male,16,6.0,96.9,9.2,96.3,1
STU0187,Female,16,6.1,84.4,9.5,92.3,1
STU0188,Male,15,3.5,53.4,6.9,86.0,1
STU0189,Male,17,7.9,65.0,7.6,87.3,1
STU0190,Female,16,2.7,85.4,8.6,79.9,1
STU0191,Male,16,3.9,53.4,5.0,55.6,0
STU0192,Male,16,4.8,79.1,7.0,94.4,1
STU0193,Male,15,5.6,67.3,6.4,80.2,1
STU0194,Male,18,3.2,81.0,4.9,73.6,1
STU0195,Male,16,2.0,77.15,6.2,46.7,0
STU0196,Female,18,6.5,93.6,4.4,66.8,1
STU0197,Female,17,3.6,77.15,4.2,67.6,1
STU0198,Female,16,6.2,98.4,4.8,91.9,1
STU0199,Male,16,2.4,87.5,9.8,72.8,1
STU0200,Male,17,5.3,56.5,7.3,62.8,1
STU0201,Male,16,5.8,87.9,9.8,98.6,1
STU0202,Female,18,1.5,77.15,6.6,46.6,0
STU0203,Male,15,4.0,51.1,5.9,65.4,1
STU0204,Male,18,2.2,66.2,7.0,42.5,0
STU0205,Female,15,1.6,74.4,6.6,84.4,1
STU0206,Male,15,9.9,88.5,4.6,95.1,1
STU0207,Female,18,3.9,77.15,7.8,56.8,0
STU0208,Female,18,8.3,72.3,5.3,91.5,1
STU0209,Female,18,3.3,63.7,7.7,57.5,0
STU0210,Male,18,7.1,99.9,7.9,94.6,1
STU0211,Male,17,7.8,71.3,4.9,85.2,1
STU0212,Male,16,6.4,72.6,4.4,88.3,1
STU0213,Male,15,5.2,58.2,8.7,41.1,0
STU0214,Male,18,4.7,89.7,6.8,97.8,1
STU0215,Male,18,4.1,84.7,4.3,83.6,1
STU0216,Male,18,9.4,61.0,10.0,58.3,0
STU0217,Female,17,8.5,54.1,4.3,89.8,1
STU0218,Male,18,9.7,84.0,8.2,56.9,0
STU0219,Female,18,2.1,82.7,9.9,92.4,1
STU0220,Male,18,7.6,77.15,5.4,46.8,0
STU0221,Male,16,9.4,97.5,4.9,82.2,1
STU0222,Male,17,2.6,57.6,4.7,72.4,1
STU0223,Female,18,1.6,77.15,5.8,45.8,0
STU0224,Female,15,7.7,77.15,4.6,54.5,0
STU0225,Female,15,6.2,71.0,8.2,40.7,0
STU0226,Female,15,8.6,81.9,4.4,68.1,1
STU0227,Male,17,2.3,69.9,7.1,58.1,0
STU0228,Female,17,8.2,63.7,10.0,75.9,1
STU0229,Male,15,2.8,99.2,8.9,57.8,0
STU0230,Male,18,2.5,70.5,7.7,58.0,0
STU0231,Female,17,2.5,94.7,5.8,84.6,1
STU0232,Female,15,8.3,61.5,7.7,42.9,0
STU0233,Female,15,7.0,60.7,7.2,94.2,1
STU0234,Female,18,5.7,51.6,6.6,91.1,1
STU0235,Female,16,4.2,82.6,4.8,80.1,1
STU0236,Female,17,8.9,68.4,9.3,75.6,1
STU0237,Female,18,4.5,93.2,6.7,93.5,1
STU0238,Female,15,8.3,73.7,5.2,51.1,0
STU0239,Male,15,5.0,98.4,6.2,44.7,0
STU0240,Female,18,4.4,59.3,6.5,54.4,0
STU0241,Female,17,5.2,93.4,9.0,87.7,1
STU0242,Male,16,3.7,88.8,8.4,42.1,0
STU0243,Female,16,7.7,88.5,8.6,75.0,1
STU0244,Male,15,5.5,77.15,4.1,99.7,1
STU0245,Male,17,3.1,88.1,6.5,91.3,1
STU0246,Female,16,9.1,81.3,6.9,71.3,1
STU0247,Male,17,4.5,56.6,4.1,43.8,0
STU0248,Male,17,5.9,51.6,5.6,89.9,1
STU0249,Male,15,9.2,96.0,8.6,75.9,1
STU0250,Male,16,6.6,80.8,4.8,46.9,0
STU0251,Female,18,2.1,89.8,7.2,45.6,0
STU0252,Male,15,9.5,74.1,5.3,94.6,1
STU0253,Female,16,6.6,55.9,4.1,80.2,1
STU0254,Male,16,4.0,56.3,5.4,89.8,1
STU0255,Male,16,2.3,84.3,9.9,92.7,1
STU0256,Male,16,8.1,71.5,8.8,74.3,1
STU0257,Male,16,6.6,60.0,9.8,71.0,1
STU0258,Female,17,5.8,74.6,6.9,65.8,1
STU0259,Female,15,9.0,53.2,4.7,59.0,0
STU0260,Male,17,8.1,79.1,7.3,66.1,1
STU0261,Male,18,2.4,63.4,6.7,86.4,1
STU0262,Female,16,3.8,89.9,9.1,76.1,1
STU0263,Male,15,3.2,65.5,4.6,93.6,1
STU0264,Male,16,7.7,72.8,6.9,66.6,1
STU0265,Male,15,1.3,50.6,4.9,76.4,1
STU0266,Female,17,6.1,53.6,5.9,77.9,1
STU0267,Female,15,7.9,69.6,8.4,75.5,1
STU0268,Female,18,8.9,77.15,6.9,82.2,1
STU0269,Male,18,4.1,80.0,6.3,54.2,0
STU0270,Male,15,8.4,64.6,6.4,70.7,1
STU0271,Female,15,2.0,84.7,6.8,46.3,0
STU0272,Female,15,8.6,93.0,8.7,63.1,1
STU0273,Female,15,2.1,89.0,9.4,69.3,1
STU0274,Female,18,4.6,52.0,9.7,79.1,1
STU0275,Male,16,8.2,74.0,8.7,97.0,1
STU0276,Female,15,2.3,55.2,5.9,76.0,1
STU0277,Male,15,3.1,62.1,8.1,84.6,1
STU0278,Female,18,7.5,99.3,6.6,70.4,1
STU0279,Male,18,7.5,57.1,5.5,78.0,1
STU0280,Female,17,6.8,74.9,9.0,44.3,0
STU0281,Female,15,7.2,80.9,4.2,55.3,0
STU0282,Female,17,5.9,85.1,9.4,61.7,1
STU0283,Female,18,3.3,78.0,6.8,68.3,1
STU0284,Male,18,4.1,50.5,7.8,42.7,0
STU0285,Female,16,2.6,66.3,8.0,48.4,0
STU0286,Male,15,9.2,75.9,9.4,56.6,0
STU0287,Male,17,6.3,54.4,7.8,98.3,1
STU0288,Male,18,4.6,67.5,7.7,59.9,0
STU0289,Male,18,5.2,51.7,4.4,68.9,1
STU0290,Female,17,9.5,53.9,7.1,51.8,0
STU0291,Male,16,2.4,77.15,4.9,76.6,1
STU0292,Male,18,6.3,56.6,8.4,56.8,0
STU0293,Male,15,5.6,78.4,7.1,52.4,0
STU0294,Female,18,6.5,84.5,8.1,71.0,1
STU0295,Female,15,1.2,90.0,4.3,40.3,0
STU0296,Female,17,8.8,60.0,4.5,40.5,0
STU0297,Female,15,9.4,58.4,8.3,53.1,0
STU0298,Male,17,6.1,55.2,4.4,42.2,0
STU0299,Male,15,7.3,81.8,4.4,46.5,0
STU0300,Female,17,9.3,85.3,4.1,60.3,1
STU0301,Male,15,7.4,77.15,9.7,88.2,1
STU0302,Male,16,2.4,96.8,8.4,74.3,1
STU0303,Male,15,6.2,52.6,6.1,70.8,1
STU0304,Female,15,6.5,77.1,5.8,57.6,0
STU0305,Female,16,4.8,85.5,6.1,95.9,1
STU0306,Male,18,7.6,93.5,8.6,63.8,1
STU0307,Female,18,9.4,85.7,8.0,45.2,0
STU0308,Female,15,9.3,90.1,5.1,77.0,1
STU0309,Female,16,5.1,67.0,5.0,46.8,0
STU0310,Female,15,2.0,77.15,4.6,60.7,1
STU0311,Female,17,9.9,77.15,8.0,70.4,1
STU0312,Male,17,8.6,94.7,8.6,92.5,1
STU0313,Female,15,2.1,77.4,5.6,69.6,1
STU0314,Male,18,9.3,90.9,4.1,82.1,1
STU0315,Male,18,8.8,77.15,4.5,99.6,1
STU0316,Female,15,5.7,82.2,9.8,47.9,0
STU0317,Male,15,6.3,76.3,5.8,56.5,0
STU0318,Male,17,4.6,77.15,8.6,63.7,1
STU0319,Male,18,1.5,54.1,7.7,65.3,1
STU0320,Female,15,4.0,53.0,6.3,64.7,1
STU0321,Female,17,8.2,62.4,5.2,94.5,1
STU0322,Male,18,1.0,58.0,4.7,82.8,1
STU0323,Female,16,4.0,93.6,7.7,76.5,1
STU0324,Female,17,4.6,61.0,8.6,58.6,0
STU0325,Female,18,5.8,98.8,7.9,89.4,1
STU0326,Female,18,9.3,66.8,7.2,97.3,1
STU0327,Male,17,4.1,59.1,4.3,89.3,1
STU0328,Male,16,4.1,89.5,9.8,40.1,0
STU0329,Female,17,7.6,82.9,8.8,78.2,1
STU0330,Female,18,5.1,74.9,5.8,43.1,0
STU0331,Male,15,3.0,77.8,9.9,55.5,0
STU0332,Male,15,5.1,86.0,7.6,43.6,0
STU0333,Female,17,2.3,61.4,7.5,76.2,1
STU0334,Male,18,2.6,99.8,8.5,81.2,1
STU0335,Female,15,5.5,98.7,8.9,46.9,0
STU0336,Female,18,4.8,82.5,7.9,63.0,1
STU0337,Male,17,9.2,60.0,4.8,67.4,1
STU0338,Male,15,4.3,84.0,6.0,62.1,1
STU0339,Female,18,6.2,53.6,9.6,47.3,0
STU0340,Female,15,6.7,51.5,5.3,65.1,1
STU0341,Male,17,1.1,62.9,6.2,85.1,1
STU0342,Female,18,7.0,73.1,6.6,44.3,0
STU0343,Male,15,2.6,93.4,6.6,44.8,0
STU0344,Female,17,9.6,86.4,7.7,61.3,1
STU0345,Male,15,2.3,77.15,9.7,96.5,1
STU0346,Male,15,4.7,71.3,5.4,80.1,1
STU0347,Male,16,1.8,77.15,4.7,80.7,1
STU0348,Female,16,10.0,77.15,5.2,61.7,1
STU0349,Female,17,5.5,99.4,9.3,75.6,1
STU0350,Male,16,6.4,52.0,7.9,40.6,0
STU0351,Female,17,1.6,93.4,5.7,78.2,1
STU0352,Male,16,7.7,78.9,8.9,94.8,1
STU0353,Male,15,2.9,77.15,9.2,76.8,1
STU0354,Female,17,9.1,86.3,9.1,92.4,1
STU0355,Female,17,2.8,74.3,9.5,83.4,1
STU0356,Male,15,2.7,93.7,5.5,47.2,0
STU0357,Female,17,1.3,95.0,8.5,94.1,1
STU0358,Female,17,5.2,71.1,6.8,44.0,0
STU0359,Male,16,6.1,63.8,9.1,72.0,1
STU0360,Male,17,1.6,79.6,8.4,48.5,0
STU0361,Female,18,8.0,95.6,8.7,40.7,0
STU0362,Male,15,5.1,60.5,7.9,65.3,1
STU0363,Male,16,5.7,77.15,5.1,57.7,0
STU0364,Female,16,5.0,81.6,7.3,69.2,1
STU0365,Male,18,4.6,86.7,9.9,74.6,1
STU0366,Male,15,6.0,56.6,9.6,42.6,0
STU0367,Female,15,2.4,85.8,4.3,47.4,0
STU0368,Female,16,2.6,95.5,5.0,73.5,1
STU0369,Male,17,8.8,59.0,4.8,60.6,1
STU0370,Male,16,9.5,61.9,8.4,83.8,1
STU0371,Female,15,4.4,98.6,8.9,79.1,1
STU0372,Female,18,3.4,77.15,5.3,90.7,1
STU0373,Female,16,6.8,92.7,7.0,81.5,1
STU0374,Female,15,4.7,74.6,9.0,65.8,1
STU0375,Male,16,1.2,62.4,8.4,80.4,1
STU0376,Female,17,2.4,93.5,7.3,56.5,0
STU0377,Female,16,7.4,77.15,7.5,58.4,0
STU0378,Male,16,6.9,75.7,7.1,87.3,1
STU0379,Female,15,1.2,68.0,5.8,66.8,1
STU0380,Male,15,3.0,79.6,7.4,87.9,1
STU0381,Female,15,3.1,58.2,8.1,89.3,1
STU0382,Female,16,7.0,69.6,9.2,91.5,1
STU0383,Female,17,1.2,98.5,7.8,95.0,1
STU0384,Male,18,1.9,62.9,8.6,65.9,1
STU0385,Male,18,8.2,82.8,5.0,59.1,0
STU0386,Female,15,2.6,66.3,6.8,74.9,1
STU0387,Male,15,6.9,77.15,4.1,62.3,1
STU0388,Male,16,3.1,56.5,5.5,76.1,1
STU0389,Male,18,1.9,98.5,8.4,82.3,1
STU0390,Male,15,3.2,72.7,10.0,81.3,1
STU0391,Male,17,7.5,61.8,4.6,62.5,1
STU0392,Male,17,8.7,53.7,6.4,50.0,0
STU0393,Female,15,8.5,58.5,8.8,65.8,1
STU0394,Female,15,4.6,76.0,5.2,48.6,0
STU0395,Male,18,7.0,66.9,7.3,93.4,1
STU0396,Female,18,2.8,91.4,8.4,60.8,1
STU0397,Female,16,3.6,77.15,7.7,49.3,0
STU0398,Female,18,9.1,62.4,5.1,41.5,0
STU0399,Female,17,1.1,80.9,6.1,78.7,1
STU0400,Male,17,1.8,85.3,8.7,78.2,1
STU0401,Female,15,2.9,77.15,7.3,60.4,1
STU0402,Female,18,1.2,58.4,4.0,44.3,0
STU0403,Male,16,2.6,51.8,8.6,64.6,1
STU0404,Male,17,6.2,86.8,4.2,58.7,0
STU0405,Female,17,4.8,83.2,8.5,80.6,1
STU0406,Female,16,9.0,73.7,5.2,76.3,1
STU0407,Female,16,8.4,92.2,9.7,61.9,1
STU0408,Female,17,4.1,90.3,6.2,53.1,0
STU0409,Female,17,3.3,79.3,6.0,99.3,1
STU0410,Female,16,4.4,93.4,4.9,67.2,1
STU0411,Male,17,6.3,77.15,5.8,81.3,1
STU0412,Female,15,3.4,55.6,9.3,48.4,0
STU0413,Female,15,6.6,63.5,10.0,69.1,1
STU0414,Male,16,4.7,52.9,6.2,41.7,0
STU0415,Male,18,6.0,76.6,6.7,70.3,1
STU0416,Male,16,4.9,96.8,8.3,97.8,1
STU0417,Male,16,3.7,52.0,9.3,63.1,1
STU0418,Female,18,9.5,56.1,7.6,42.3,0
STU0419,Female,18,7.9,72.6,6.3,41.9,0
STU0420,Female,18,2.3,96.7,6.5,63.3,1
STU0421,Female,15,8.8,65.8,8.2,49.6,0
STU0422,Female,17,5.4,77.15,4.0,41.4,0
STU0423,Female,15,9.1,77.15,7.7,85.4,1
STU0424,Male,17,8.2,57.4,6.1,67.5,1
STU0425,Female,15,4.8,99.3,8.8,57.4,0
STU0426,Male,17,1.2,98.3,4.6,94.0,1
STU0427,Male,15,3.4,77.15,7.5,47.0,0
STU0428,Female,18,5.9,97.6,6.9,97.4,1
STU0429,Male,16,6.7,82.0,7.9,58.8,0
STU0430,Female,15,3.3,93.4,4.4,93.3,1
STU0431,Male,17,2.3,72.7,7.5,76.2,1
STU0432,Female,18,8.5,75.8,7.4,89.6,1
STU0433,Male,15,9.9,74.4,7.4,99.0,1
STU0434,Female,15,5.7,83.3,7.6,57.3,0
STU0435,Female,18,2.5,57.0,8.1,97.7,1
STU0436,Female,15,3.5,51.5,8.8,63.4,1
STU0437,Female,16,1.2,65.4,5.6,63.1,1
STU0438,Female,15,9.2,85.2,9.0,60.4,1
STU0439,Male,16,2.1,60.1,7.0,72.5,1
STU0440,Male,16,6.2,77.15,4.5,49.2,0
STU0441,Male,18,3.5,98.5,4.4,73.2,1
STU0442,Female,15,6.0,54.7,6.0,72.5,1
STU0443,Male,18,6.9,83.6,8.7,85.7,1
STU0444,Female,15,8.5,72.2,8.2,90.0,1
STU0445,Female,15,2.9,93.4,8.7,66.4,1
STU0446,Male,17,1.1,58.9,7.1,58.1,0
STU0447,Male,15,2.2,84.6,6.6,55.6,0
STU0448,Female,18,9.1,91.9,4.9,51.7,0
STU0449,Male,16,8.9,97.2,6.0,43.5,0
STU0450,Female,15,6.4,84.2,6.6,60.5,1
STU0451,Female,17,6.4,74.9,4.5,56.2,0
STU0452,Female,18,7.0,80.9,5.3,98.0,1
STU0453,Female,15,2.6,93.4,7.6,73.5,1
STU0454,Female,18,9.2,78.5,8.4,60.8,1
STU0455,Male,17,4.8,51.5,10.0,74.8,1
STU0456,Male,17,4.4,96.5,9.6,48.4,0
STU0457,Female,18,5.7,84.5,7.9,66.6,1
STU0458,Female,15,1.4,83.8,6.5,77.6,1
STU0459,Male,16,2.5,60.8,7.8,69.3,1
STU0460,Male,17,7.6,82.9,8.7,64.1,1
STU0461,Female,15,1.7,69.7,4.7,99.6,1
STU0462,Male,15,6.4,82.6,6.5,92.8,1
STU0463,Female,16,3.2,77.15,9.0,77.4,1
STU0464,Male,17,4.5,77.15,6.3,74.2,1
STU0465,Female,17,3.6,100.0,7.4,77.2,1
STU0466,Male,15,4.2,52.4,7.5,52.1,0
STU0467,Female,15,7.5,98.9,5.1,63.7,1
STU0468,Male,16,3.7,70.3,6.2,42.4,0
STU0469,Male,16,6.1,93.5,6.0,68.5,1
STU0470,Female,17,5.3,89.1,4.2,72.6,1
STU0471,Male,18,7.0,78.4,4.1,53.7,0
STU0472,Female,17,9.4,86.9,9.0,97.8,1
STU0473,Male,15,7.6,93.9,5.6,94.6,1
STU0474,Female,17,2.9,70.2,7.1,83.3,1
STU0475,Male,18,1.3,66.4,5.8,72.0,1
STU0476,Female,16,3.4,83.4,9.6,92.2,1
STU0477,Male,18,6.4,77.15,5.6,47.8,0
STU0478,Female,18,1.5,88.1,6.6,87.4,1
STU0479,Male,18,5.5,89.9,9.2,47.5,0
STU0480,Female,16,6.4,71.8,9.1,87.7,1
STU0481,Female,18,4.0,90.9,5.1,56.5,0
STU0482,Female,18,7.9,56.0,8.8,92.6,1
STU0483,Male,18,2.0,77.2,6.7,96.6,1
STU0484,Female,15,1.7,50.3,6.9,48.9,0
STU0485,Male,18,7.6,66.2,4.8,67.8,1
STU0486,Female,16,5.5,68.3,4.5,98.9,1
STU0487,Male,18,7.2,69.8,8.4,69.0,1
STU0488,Female,18,4.9,84.8,7.0,91.8,1
STU0489,Male,16,3.2,69.4,6.6,75.3,1
STU0490,Male,18,8.4,72.4,8.4,62.5,1
STU0491,Female,16,8.2,61.9,8.6,57.1,0
STU0492,Male,18,7.3,68.7,5.0,52.2,0
STU0493,Male,16,3.4,61.4,7.7,85.7,1
STU0494,Female,18,6.3,53.7,4.8,63.2,1
STU0495,Male,18,4.2,80.2,8.5,70.7,1
STU0496,Male,15,1.8,83.4,7.9,69.5,1
STU0497,Male,15,9.3,81.0,9.7,74.6,1
